timestamp,sender,message
2026-08-01 20:03:00,other,你发的那首歌我循环了一下午。
2026-08-01 20:05:00,me,真有这么夸张？
2026-08-01 20:07:00,other,副歌太上头了，你还有类似的吗？
2026-08-01 20:11:00,me,有，等我整理个歌单给你。
2026-08-02 22:05:00,me,歌单来了，前三首别跳。
2026-08-02 22:09:00,other,第一首就很对味，怎么找到的？
2026-08-02 22:13:00,other,等下，我想起一首也要发你。
2026-08-02 22:16:00,me,发来，我听听。
2026-08-05 19:40:00,me,周末去听那个小场演出吗？
2026-08-05 20:01:00,other,听起来不错，我看看时间。
2026-08-07 18:20:00,me,演出明天就开了，你时间定了吗？
2026-08-07 22:33:00,other,这周先不去了，最近事情有点多。
2026-08-07 22:35:00,me,好，那先忙你的。
2026-08-11 19:02:00,me,下周要不要找天喝咖啡？
2026-08-11 19:08:00,other,下周也不确定，后面再说吧。
2026-08-11 19:12:00,me,行，等你方便再定。
2026-08-15 21:24:00,other,上次那个歌单还不错。
2026-08-15 21:31:00,me,你最喜欢哪首？
2026-08-16 14:46:00,other,第二首吧。
2026-08-18 21:25:00,me,你这周有没有能见面的时间？
2026-08-18 21:31:00,other,暂时没有，最近都排满了。
2026-08-18 21:36:00,me,知道了，我这边就先不约了。
